epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,502.825,0.74623,1.05062,0.9237,1,0.54148,0.66507,0.51141,1.24253,2.08805,1.45882,0.0009605,0.0009605,0.0009605
44,512.22,0.73244,0.91519,0.92161,1,0.54148,0.66507,0.51141,1.24253,2.08805,1.45882,0.00093575,0.00093575,0.00093575
45,522.117,0.77026,0.97945,0.89292,0.8092,0.55556,0.67259,0.51996,1.2385,2.12236,1.50059,0.000911,0.000911,0.000911
46,531.276,0.75127,1.01406,0.93803,0.8092,0.55556,0.67259,0.51996,1.2385,2.12236,1.50059,0.00088625,0.00088625,0.00088625
47,540.394,0.67035,0.91758,0.89025,0.98111,0.44444,0.66671,0.52625,1.1948,2.01768,1.43447,0.0008615,0.0008615,0.0008615
48,549.444,0.66144,1.06311,0.86062,0.98111,0.44444,0.66671,0.52625,1.1948,2.01768,1.43447,0.00083675,0.00083675,0.00083675
49,562.669,0.82949,1.08983,0.97755,0.97408,0.44444,0.63416,0.50149,1.19358,2.17199,1.27835,0.000812,0.000812,0.000812
50,576.491,0.67823,0.94946,0.94271,0.97408,0.44444,0.63416,0.50149,1.19358,2.17199,1.27835,0.00078725,0.00078725,0.00078725
51,590.439,0.7421,1.11469,0.92245,0.65081,0.62439,0.7071,0.49003,1.20927,2.13148,1.32851,0.0007625,0.0007625,0.0007625
52,604.459,0.72246,1.00241,0.89998,0.65081,0.62439,0.7071,0.49003,1.20927,2.13148,1.32851,0.00073775,0.00073775,0.00073775
53,618.362,0.74579,1.06213,0.95268,0.74638,0.65539,0.73101,0.50342,1.1578,1.95072,1.37219,0.000713,0.000713,0.000713
54,631.883,0.74008,0.90896,0.90092,0.74638,0.65539,0.73101,0.50342,1.1578,1.95072,1.37219,0.00068825,0.00068825,0.00068825
55,645.889,0.73883,1.08675,0.98147,0.84714,0.77778,0.79739,0.52639,1.03605,1.93418,1.28968,0.0006635,0.0006635,0.0006635
56,659.756,0.73514,0.90402,0.90534,0.84714,0.77778,0.79739,0.52639,1.03605,1.93418,1.28968,0.00063875,0.00063875,0.00063875
57,674.092,0.67624,0.87883,0.91362,0.86345,0.77778,0.83055,0.54065,1.11748,1.80497,1.38572,0.000614,0.000614,0.000614
58,688.38,0.59104,0.89742,0.87637,0.86345,0.77778,0.83055,0.54065,1.11748,1.80497,1.38572,0.00058925,0.00058925,0.00058925
59,702.287,0.67501,0.93204,0.91641,0.85605,0.77778,0.82425,0.54772,1.26962,1.66597,1.64628,0.0005645,0.0005645,0.0005645
60,716.41,0.65905,0.88344,0.89063,0.85605,0.77778,0.82425,0.54772,1.26962,1.66597,1.64628,0.00053975,0.00053975,0.00053975
61,730.343,0.62095,0.812,0.85351,0.85875,0.77778,0.81284,0.54995,1.24853,1.64381,1.64454,0.000515,0.000515,0.000515
62,744.287,0.6965,0.93552,0.89097,0.85875,0.77778,0.81284,0.54995,1.24853,1.64381,1.64454,0.00049025,0.00049025,0.00049025
63,758.387,0.66869,0.89519,0.88964,0.91485,0.77778,0.83212,0.54589,1.23837,1.63048,1.6182,0.0004655,0.0004655,0.0004655
64,772.483,0.64965,0.84162,0.92509,0.91485,0.77778,0.83212,0.54589,1.23837,1.63048,1.6182,0.00044075,0.00044075,0.00044075
65,786.563,0.72034,0.85366,0.89232,0.95626,0.77778,0.83207,0.55163,1.19928,1.5968,1.57712,0.000416,0.000416,0.000416
66,800.014,0.64175,1.00668,0.9446,0.95626,0.77778,0.83207,0.55163,1.19928,1.5968,1.57712,0.00039125,0.00039125,0.00039125
67,814.219,0.66042,0.83043,0.86907,1,0.75505,0.83531,0.55656,1.16112,1.64753,1.49746,0.0003665,0.0003665,0.0003665
68,827.785,0.66344,0.76843,0.90058,1,0.75505,0.83531,0.55656,1.16112,1.64753,1.49746,0.00034175,0.00034175,0.00034175
